x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50
-20,-0.9129453,0.40808207,9.087055,5.408082,-9.087055,0.9129453,-0.8390715,-0.85091937,0.81616414,18.258905,-20,-58,-45,20,13,400,-400,800,410,289,-8000,8000,8000,-16000,-23995,-5832,10648,-8020,-7600,-8795,20,4.472136,20.12461,-0.7464143,10,100,-20,-1.3210273,399.08707,899.5919,-40.456474,40.20404,2.9957323,-0.008333334,12.995732,5.2983174,-5.2983174,-0.18627828,0.9129453,0.3968496
-19.9,-0.8676441,0.4971858,9.132356,5.4971857,-9.132356,0.8676441,-0.8652126,0.16851768,0.9943716,17.266117,-19.9,-57.7,-44.8,19.9,12.95,396.01,-396.01,792.02,406.01,285.61,-7880.599,7880.599,7880.599,-15761.198,-23636.797,-5735.339,10503.459,-7900.499,-7484.589,-8667.619,19.9,4.460942,20.025234,-0.6204504,9.9,99.5,-19.9,-1.3648299,395.14236,893.5128,-40.23382,40.04859,2.9907198,-0.008340283,12.99072,5.293305,-5.293305,-0.21569017,0.8676441,0.47695395
-19.8,-0.81367373,0.58132184,9.186326,5.5813217,-9.186326,0.81367373,-0.88919115,0.6123911,1.1626437,16.11074,-19.8,-57.4,-44.6,19.8,12.9,392.04,-392.04,784.08,402.04,282.24,-7762.392,7762.392,7762.392,-15524.784,-23282.176,-5639.752,10360.232,-7782.192,-7370.352,-8541.472,19.8,4.449719,19.925863,-0.47573867,9.8,99,-19.8,-1.3949956,391.22632,887.4587,-40.006836,39.89066,2.985682,-0.008347246,12.985682,5.288267,-5.288267,-0.23650314,0.81367373,0.5491291
-19.7,-0.75157344,0.65964943,9.248426,5.6596494,-9.248426,0.75157344,-0.91094714,-0.99466854,1.3192989,14.805996,-19.7,-57.1,-44.4,19.7,12.85,388.09,-388.09,776.18,398.09,278.89,-7645.373,7645.373,7645.373,-15290.746,-22931.12,-5545.233,10218.313,-7665.073,-7257.283,-8416.553,19.7,4.438468,19.826498,-0.31643602,9.7,98.5,-19.7,-1.4112228,387.33844,881.43036,-39.775787,39.729824,2.9806187,-0.008354219,12.9806185,5.2832036,-5.2832036,-0.24788749,0.75157344,0.6128399
-19.6,-0.6819636,0.7313861,9.318036,5.731386,-9.318036,0.6819636,-0.9304263,0.7743557,1.4627723,13.366487,-19.6,-56.8,-44.2,19.6,12.8,384.16,-384.16,768.32,394.16,275.56,-7529.536,7529.536,7529.536,-15059.072,-22583.607,-5451.776,10077.696,-7549.136,-7145.376,-8292.856,19.6,4.427189,19.727139,-0.147038,9.6,98,-19.6,-1.4133497,383.47803,875.4286,-39.54098,39.565693,2.9755297,-0.008361204,12.97553,5.278115,-5.278115,-0.24938935,0.6819636,0.6679019
-19.5,-0.60553986,0.795815,9.39446,5.795815,-9.39446,0.60553986,-0.9475798,-0.11702018,1.59163,11.808027,-19.5,-56.5,-44,19.5,12.75,380.25,-380.25,760.5,390.25,272.25,-7414.875,7414.875,7414.875,-14829.75,-22239.625,-5359.375,9938.375,-7434.375,-7034.625,-8170.375,19.5,4.41588,19.627787,0.027781596,9.5,97.5,-19.5,-1.4013548,379.64447,869.45416,-39.30277,39.397907,2.9704144,-0.008368201,12.970414,5.273,-5.273,-0.24094884,0.60553986,0.7144341
-19.4,-0.52306575,0.8522923,9.476934,5.8522925,-9.476934,0.52306575,-0.96236485,-0.59004813,1.7045846,10.147476,-19.4,-56.2,-43.8,19.4,12.7,376.36,-376.36,752.72,386.36,268.96,-7301.384,7301.384,7301.384,-14602.768,-21899.152,-5268.024,9800.344,-7320.784,-6925.024,-8049.104,19.4,4.404543,19.52844,0.20333645,9.4,97,-19.4,-1.3753581,375.83694,863.5077,-39.06153,39.226147,2.9652731,-0.00837521,12.965273,5.267858,-5.267858,-0.22290246,0.52306575,0.75279135
-19.3,-0.43536535,0.90025383,9.564634,5.900254,-9.564634,0.43536535,-0.97474456,0.97776526,1.8005077,8.402552,-19.3,-55.9,-43.6,19.3,12.65,372.49,-372.49,744.98,382.49,265.69,-7189.057,7189.057,7189.057,-14378.114,-21562.172,-5177.717,9663.597,-7208.357,-6816.567,-7929.037,19.3,4.3931766,19.429102,0.37509164,9.3,96.5,-19.3,-1.3356192,372.05463,857.5897,-38.817684,39.050125,2.9601052,-0.00838223,12.960105,5.26269,-5.26269,-0.19596967,0.43536535,0.7834847
-19.2,-0.34331492,0.93922037,9.656685,5.9392204,-9.656685,0.34331492,-0.98468786,-0.87895167,1.8784407,6.5916467,-19.2,-55.6,-43.4,19.2,12.6,368.64,-368.64,737.28,378.64,262.44,-7077.888,7077.888,7077.888,-14155.776,-21228.664,-5088.448,9528.128,-7097.088,-6709.248,-7810.168,19.2,4.3817806,19.32977,0.5388199,9.2,96,-19.2,-1.2825353,368.2967,851.7008,-38.57166,38.86961,2.9549103,-0.008389262,12.95491,5.2574954,-5.2574954,-0.16122419,0.34331492,0.80709803
-19.1,-0.2478342,0.96880245,9.752166,5.9688025,-9.752166,0.2478342,-0.99217,0.37579286,1.9376049,4.7336335,-19.1,-55.3,-43.2,19.1,12.55,364.81,-364.81,729.62,374.81,259.21,-6967.871,6967.871,6967.871,-13935.742,-20898.613,-5000.211,9393.931,-6986.971,-6603.061,-7692.491,19.1,4.3703547,19.230444,0.690744,9.1,95.5,-19.1,-1.2166367,364.56216,845.8412,-38.323917,38.684402,2.9496884,-0.008396306,12.949688,5.2522736,-5.2522736,-0.1200512,0.2478342,0.82420814
